source,model,backend,kv_quant,ctx,prefill_ms,decode_tok_s,decode_ms,kv_cache_mb,vram_peak_mb,vram_overflow,ppl_ref,ppl_quant,delta_ppl,overhead_pct,timestamp
phase_a_v3,mistralai/Mistral-7B-v0.1,sdpa,FP16,512,46.7,52.7,2430.0,64.0,14071.0,False,4.676,,,0.0,2026-04-17T03:07:44
phase_a_v3,mistralai/Mistral-7B-v0.1,sdpa,FP16,1024,82.6,50.4,2538.0,128.0,14321.0,False,4.676,,,0.0,2026-04-17T03:07:44
phase_a_v3,mistralai/Mistral-7B-v0.1,sdpa,FP16,4096,436.8,33.6,3807.0,512.0,15839.0,False,4.676,,,0.0,2026-04-17T03:07:44
phase_a_v3,mistralai/Mistral-7B-v0.1,sdpa,FP16,8192,1115.6,21.3,6008.0,1024.0,17889.0,False,4.676,,,0.0,2026-04-17T03:07:44
phase_a_v3,mistralai/Mistral-7B-v0.1,sdpa,INT2 (HQQ),512,578.4,23.9,5353.0,10.0,13909.0,False,4.676,4.7152,0.0392,144.01,2026-04-17T03:24:45
phase_a_v3,mistralai/Mistral-7B-v0.1,sdpa,INT2 (HQQ),1024,524.9,24.7,5187.0,20.0,13997.0,False,4.676,4.7152,0.0392,138.07,2026-04-17T03:24:45
phase_a_v3,mistralai/Mistral-7B-v0.1,sdpa,INT2 (HQQ),4096,900.1,18.8,6814.0,80.0,14543.0,False,4.676,4.7152,0.0392,113.55,2026-04-17T03:24:45
phase_a_v3,mistralai/Mistral-7B-v0.1,sdpa,INT2 (HQQ),8192,1657.1,13.8,9311.0,160.0,15297.0,False,4.676,4.7152,0.0392,91.16,2026-04-17T03:24:45
phase_a_v3,mistralai/Mistral-7B-v0.1,sdpa,INT2 (QUANTO),512,73.0,33.3,3844.0,10.0,13899.0,False,4.676,4.7367,0.0607,65.25,2026-04-17T03:35:06
phase_a_v3,mistralai/Mistral-7B-v0.1,sdpa,INT2 (QUANTO),1024,115.4,33.8,3786.0,20.0,13977.0,False,4.676,4.7367,0.0607,64.46,2026-04-17T03:35:06
phase_a_v3,mistralai/Mistral-7B-v0.1,sdpa,INT2 (QUANTO),4096,472.0,24.6,5207.0,80.0,14463.0,False,4.676,4.7367,0.0607,50.77,2026-04-17T03:35:06
phase_a_v3,mistralai/Mistral-7B-v0.1,sdpa,INT2 (QUANTO),8192,1122.2,18.0,7123.0,160.0,15137.0,False,4.676,4.7367,0.0607,40.38,2026-04-17T03:35:06
phase_a_v3,mistralai/Mistral-7B-v0.1,sdpa,INT4 (HQQ),512,525.8,27.9,4588.0,18.0,13933.0,False,4.676,4.6772,0.0012,125.85,2026-04-17T03:18:48
phase_a_v3,mistralai/Mistral-7B-v0.1,sdpa,INT4 (HQQ),1024,436.1,28.1,4555.0,36.0,14045.0,False,4.676,4.6772,0.0012,116.71,2026-04-17T03:18:48
phase_a_v3,mistralai/Mistral-7B-v0.1,sdpa,INT4 (HQQ),4096,798.1,21.8,5861.0,144.0,14735.0,False,4.676,4.6772,0.0012,90.96,2026-04-17T03:18:48
phase_a_v3,mistralai/Mistral-7B-v0.1,sdpa,INT4 (HQQ),8192,1530.7,15.8,8079.0,288.0,15681.0,False,4.676,4.6772,0.0012,74.65,2026-04-17T03:18:48
phase_a_v3,mistralai/Mistral-7B-v0.1,sdpa,INT4 (QUANTO),512,69.4,35.0,3652.0,18.0,13915.0,False,4.676,4.6767,0.0007,63.35,2026-04-17T03:29:53
phase_a_v3,mistralai/Mistral-7B-v0.1,sdpa,INT4 (QUANTO),1024,102.3,34.8,3684.0,36.0,14009.0,False,4.676,4.6767,0.0007,62.74,2026-04-17T03:29:53
phase_a_v3,mistralai/Mistral-7B-v0.1,sdpa,INT4 (QUANTO),4096,473.7,25.3,5060.0,144.0,14591.0,False,4.676,4.6767,0.0007,48.78,2026-04-17T03:29:53
