model,kv_quant,context_len,prefill_ms,prefill_tok_s,decode_tok_s,kv_cache_mb,vram_peak_mb,vram_reserved_mb,vram_overflow,ppl_ref,ppl_quant,delta_ppl,needle_score
Mistral-7B,FP16,4096,441.3,9282.0,34.1,512.0,15839.0,16068.0,False,4.611,,,0.5
Mistral-7B,FP16,8192,1075.2,7619.0,21.6,1024.0,17889.0,18896.0,False,4.611,,,0.5
Mistral-7B,FP16,16384,3076.4,5326.0,12.0,2048.0,22085.0,22896.0,False,4.611,,,0.5
Mistral-7B,FP16,32768,9865.5,3321.0,0.0,4096.0,30989.0,33032.0,False,4.611,,,0.5
Mistral-7B,INT2,4096,1219.3,3359.0,18.9,80.0,14543.0,15106.0,False,4.611,4.7481,0.1371,0.5
Mistral-7B,INT2,8192,1951.0,4199.0,13.8,160.0,15297.0,16330.0,False,4.611,4.7481,0.1371,0.5
Mistral-7B,INT2,16384,4640.6,3531.0,8.6,320.0,16901.0,19008.0,False,4.611,4.7481,0.1371,0.5
Mistral-7B,INT2,32768,12957.3,2529.0,4.0,640.0,20749.0,22360.0,False,4.611,4.7481,0.1371,0.5
Mistral-7B,INT2-KIVI,4096,1169.5,3502.0,19.0,80.0,14543.0,15104.0,False,4.611,4.9786,0.3676,0.35
Mistral-7B,INT2-KIVI,8192,1898.3,4315.0,13.9,160.0,15297.0,16330.0,False,4.611,4.9786,0.3676,0.35
Mistral-7B,INT2-KIVI,16384,4639.2,3532.0,8.7,320.0,16901.0,19008.0,False,4.611,4.9786,0.3676,0.35
Mistral-7B,INT2-KIVI,32768,12797.9,2560.0,4.0,640.0,20749.0,22360.0,False,4.611,4.9786,0.3676,0.35
Mistral-7B,INT4,4096,1087.7,3766.0,20.9,144.0,14735.0,15300.0,False,4.611,4.613,0.002,0.5
Mistral-7B,INT4,8192,1897.8,4317.0,15.3,288.0,15681.0,16718.0,False,4.611,4.613,0.002,0.5
Mistral-7B,INT4,16384,4381.2,3740.0,9.0,576.0,17669.0,19392.0,False,4.611,4.613,0.002,0.5
Mistral-7B,INT4,32768,12483.6,2625.0,4.2,1152.0,22285.0,23702.0,False,4.611,4.613,0.002,0.5
Mistral-7B,INT8,4096,892.3,4590.0,23.4,272.0,15119.0,15690.0,False,4.611,4.6104,-0.0006,0.5
Mistral-7B,INT8,8192,1757.0,4662.0,17.0,544.0,16449.0,17514.0,False,4.611,4.6104,-0.0006,0.5
Mistral-7B,INT8,16384,4101.1,3995.0,9.6,1088.0,19205.0,20926.0,False,4.611,4.6104,-0.0006,0.5
Mistral-7B,INT8,32768,11534.9,2841.0,4.5,2176.0,25357.0,27414.0,False,4.611,4.6104,-0.0006,0.5
Qwen2-7B,FP16,4096,318.8,12846.0,53.0,224.0,16423.0,16702.0,False,6.2642,,,1.0
Qwen2-7B,FP16,8192,656.6,12477.0,48.0,448.0,18311.0,18874.0,False,6.2642,,,1.0
Qwen2-7B,FP16,16384,1479.7,11073.0,35.6,896.0,22087.0,23198.0,False,6.2642,,,1.0
Qwen2-7B,FP16,32768,5371.9,6100.0,16.3,1792.0,29639.0,30870.0,False,6.2642,,,1.0
Qwen2-7B,INT2,4096,790.0,5185.0,25.0,35.0,15855.0,16548.0,False,6.2642,35932.5195,35926.2553,0.0
Qwen2-7B,INT2,8192,1211.0,6765.0,22.7,70.0,17176.0,18536.0,False,6.2642,35932.5195,35926.2553,0.0
Qwen2-7B,INT2,16384,2154.3,7605.0,19.3,140.0,19819.0,22810.0,False,6.2642,35932.5195,35926.2553,0.0
Qwen2-7B,INT2,32768,4718.5,6945.0,13.1,280.0,25102.0,30488.0,False,6.2642,35932.5195,35926.2553,0.0
Qwen2-7B,INT2-KIVI,4096,793.6,5161.0,25.2,35.0,15855.0,16548.0,False,6.2642,2279.562,2273.2978,0.0
