Model,Config,Context,Tokens Generated,Time (ms),Throughput (tok/s),KV Cache (MB),Perplexity,Quant (ms),Dequant (ms),Overhead (%),Power (W),Energy (mJ/tok),Timestamp,ΔPPL (%)
Qwen2-7B,FP16,512,503,10885.82,46.21,27.95,1.31,0.00,0.00,0.00,260.76,5643.37,2026-01-18T00:09:10.512141,0.00
Qwen2-7B,FP16,1024,1015,19271.15,52.67,55.95,1.14,0.00,0.00,0.00,304.05,5772.81,2026-01-18T00:09:10.512141,0.00
Qwen2-7B,FP16,2048,2039,39408.05,51.74,111.95,1.07,0.00,0.00,0.00,307.74,5947.70,2026-01-18T00:09:10.512141,0.00
Qwen2-7B,FP16,4096,4087,79981.58,51.10,223.95,1.07,0.00,0.00,0.00,306.69,6001.88,2026-01-18T00:25:18.762576,0.00
Qwen2-7B,INT2 (HQQ),512,503,17211.55,29.22,9.81,2.39,1444.40,4665.89,35.50,218.82,7487.44,2026-01-18T00:09:10.512141,82.15
Qwen2-7B,INT2 (HQQ),1024,1015,36382.72,27.90,14.19,1.54,3182.38,10040.98,36.35,217.89,7810.29,2026-01-18T00:09:10.512141,35.07
Qwen2-7B,INT2 (HQQ),2048,2039,71740.81,28.42,22.94,3.12,6597.82,19551.70,36.45,223.90,7877.78,2026-01-18T00:09:10.512141,191.87
Qwen2-7B,INT2 (HQQ),4096,4087,144470.75,28.29,40.44,3.74,14879.84,38958.49,37.27,228.80,8087.78,2026-01-18T00:25:18.762576,249.38
Qwen2-7B,INT4 (HQQ),512,503,15286.98,32.90,12.50,1.58,1178.93,3075.39,27.83,231.41,7032.98,2026-01-18T00:09:10.512141,20.44
Qwen2-7B,INT4 (HQQ),1024,1015,31186.95,32.55,20.37,1.31,2711.55,6226.26,28.66,233.87,7185.94,2026-01-18T00:09:10.512141,14.28
Qwen2-7B,INT4 (HQQ),2048,2039,63747.72,31.99,36.12,1.16,5544.05,12843.71,28.84,237.65,7430.09,2026-01-18T00:09:10.512141,8.31
Qwen2-7B,INT4 (HQQ),4096,4087,126266.22,32.37,67.62,1.16,9832.78,25818.74,28.24,245.60,7587.68,2026-01-18T00:25:18.762576,8.27
Qwen2-7B,INT8 (HQQ),512,503,13187.72,38.14,17.87,1.31,751.03,1500.96,17.08,249.55,6542.84,2026-01-18T00:09:10.512141,-0.33
Qwen2-7B,INT8 (HQQ),1024,1015,26665.05,38.06,32.75,1.14,1589.66,2994.41,17.19,254.26,6679.69,2026-01-18T00:09:10.512141,-0.16
Qwen2-7B,INT8 (HQQ),2048,2039,54795.46,37.21,62.50,1.08,3379.86,6365.88,17.79,257.75,6926.65,2026-01-18T00:09:10.512141,0.59
Qwen2-7B,INT8 (HQQ),4096,4087,110345.79,37.04,122.00,1.08,6965.42,13098.19,18.18,263.02,7101.23,2026-01-18T00:25:18.762576,0.59
Qwen3-8B,FP16,128,119,4229.97,28.13,17.86,1.66,0.00,0.00,0.00,190.33,6765.38,2025-12-01T09:02:55.107793,0.00
Qwen3-8B,FP16,256,247,8175.01,30.21,35.86,1.28,0.00,0.00,0.00,227.53,7530.61,2025-12-01T09:02:55.107793,0.00
Qwen3-8B,FP16,512,503,16143.57,31.16,71.86,1.13,0.00,0.00,0.00,232.99,7477.58,2025-12-01T09:02:55.107793,0.00
Qwen3-8B,FP16,1024,1015,33498.04,30.30,143.86,1.06,0.00,0.00,0.00,234.69,7745.48,2025-12-01T09:02:55.107793,0.00
Qwen3-8B,FP16,2048,2039,66214.73,30.79,287.86,1.03,0.00,0.00,0.00,238.69,7751.14,2025-12-01T09:02:55.107793,0.00
Qwen3-8B,FP16,4096,4087,133804.35,30.54,575.86,1.03,0.00,0.00,0.00,243.29,7965.11,2025-12-01T09:02:55.107793,0.00
Qwen3-8B,INT2 (HQQ),128,119,6074.31,19.59,16.79,1.80,461.44,1468.43,31.77,184.91,9438.89,2025-12-01T09:02:55.107793,8.35
Qwen3-8B,INT2 (HQQ),256,247,13042.05,18.94,19.60,1.33,957.42,3155.92,31.54,183.92,9711.36,2025-12-01T09:02:55.107793,4.00
Qwen3-8B,INT2 (HQQ),512,503,26739.34,18.81,25.23,1.21,1924.77,6604.17,31.90,186.92,9936.49,2025-12-01T09:02:55.107793,7.62
Qwen3-8B,INT2 (HQQ),1024,1015,53647.82,18.92,36.48,1.67,4181.50,13050.54,32.12,188.81,9979.67,2025-12-01T09:02:55.107793,57.28
Qwen3-8B,INT2 (HQQ),2048,2039,108719.23,18.75,58.98,3.16,8952.97,26382.93,32.50,193.05,10293.59,2025-12-01T09:02:55.107793,207.01
Qwen3-8B,INT2 (HQQ),4096,4087,216938.82,18.84,103.98,3.31,15885.65,53731.37,32.09,202.26,10736.21,2025-12-01T09:02:55.107793,221.08
Qwen3-8B,INT4 (HQQ),128,119,5483.32,21.70,16.95,1.66,426.79,941.73,24.96,193.40,8911.38,2025-12-01T09:02:55.107793,0.00
Qwen3-8B,INT4 (HQQ),256,247,11982.86,20.61,22.01,1.28,882.89,2052.83,24.50,189.73,9204.31,2025-12-01T09:02:55.107793,0.00
Qwen3-8B,INT4 (HQQ),512,503,24559.39,20.48,32.14,1.13,1910.17,4317.07,25.36,193.19,9432.64,2025-12-01T09:02:55.107793,0.00
Qwen3-8B,INT4 (HQQ),1024,1015,48351.03,20.99,52.39,1.06,3793.61,8434.68,25.29,198.24,9443.42,2025-12-01T09:02:55.107793,0.00
Qwen3-8B,INT4 (HQQ),2048,2039,96498.87,21.13,92.89,1.07,6488.86,17007.81,24.35,204.14,9661.41,2025-12-01T09:02:55.107793,3.74
Qwen3-8B,INT4 (HQQ),4096,4087,192510.64,21.23,173.89,1.07,12390.24,34446.37,24.33,214.39,10098.45,2025-12-01T09:02:55.107793,3.76
Qwen3-8B,INT8 (HQQ),128,119,4720.79,25.21,17.27,1.66,235.28,430.04,14.09,203.93,8089.98,2025-12-01T09:02:55.107793,0.00
